full_name,description,language,html_url,stargazers_count,topics,release_assets,windows_support,macos_support,linux_support,platform_notes
watchexec/watchexec,Executes commands in response to file modifications,,https://github.com/watchexec/watchexec,6588,[],"[{""name"": ""watchexec-2.3.2-x86_64-apple-darwin.tar.xz"", ""download_url"": ""https://github.com/watchexec/watchexec/releases/download/v2.3.2/watchexec-2.3.2-x86_64-apple-darwin.tar.xz""}, {""name"": ""watchexec-2.3.2-x86_64-pc-windows-msvc.zip"", ""download_url"": ""https://github.com/watchexec/watchexec/releases/download/v2.3.2/watchexec-2.3.2-x86_64-pc-windows-msvc.zip""}, {""name"": ""watchexec-2.3.2-x86_64-unknown-linux-gnu.deb"", ""download_url"": ""https://github.com/watchexec/watchexec/releases/download/v2.3.2/watchexec-2.3.2-x86_64-unknown-linux-gnu.deb""}]",True,True,True,"Supported platforms: Linux, Windows, macOS"
face-hh/webx,An alternative for the World Wide Web,,https://github.com/face-hh/webx,1924,[],"[{""name"": ""Bussin_Napture-portable.paf.exe"", ""download_url"": ""https://github.com/face-hh/webx/releases/download/v1.3.1/Bussin_Napture-portable.paf.exe""}, {""name"": ""Bussin_Napture-x86_64.AppImage"", ""download_url"": ""https://github.com/face-hh/webx/releases/download/v1.3.1/Bussin_Napture-x86_64.AppImage""}]",True,True,True,"Supported platforms: Linux, Windows, macOS"
charmbracelet/freeze,Generate images of code and terminal output 📸,,https://github.com/charmbracelet/freeze,4234,[],"[{""name"": ""freeze_0.2.2_amd64.deb"", ""download_url"": ""https://github.com/charmbracelet/freeze/releases/download/v0.2.2/freeze_0.2.2_amd64.deb""}, {""name"": ""freeze_0.2.2_Windows_x86_64.zip"", ""download_url"": ""https://github.com/charmbracelet/freeze/releases/download/v0.2.2/freeze_0.2.2_Windows_x86_64.zip""}]",True,True,True,"Supported platforms: Linux, Windows, macOS"
lapce/lapce,Lightning-fast and Powerful Code Editor written in Rust,,https://github.com/lapce/lapce,37763,[],"[{""name"": ""Lapce-macos.dmg"", ""download_url"": ""https://github.com/lapce/lapce/releases/download/v0.4.5/Lapce-macos.dmg""}, {""name"": ""Lapce-windows.msi"", ""download_url"": ""https://github.com/lapce/lapce/releases/download/v0.4.5/Lapce-windows.msi""}, {""name"": ""lapce.ubuntu.noble.amd64.deb"", ""download_url"": ""https://github.com/lapce/lapce/releases/download/v0.4.5/lapce.ubuntu.noble.amd64.deb""}]",True,True,True,"Supported platforms: Linux, Windows, macOS"
shuttle-hq/shuttle,Build & ship backends without writing any infrastructure files.,,https://github.com/shuttle-hq/shuttle,6790,[],"[{""name"": ""cargo-shuttle-v0.57.3-x86_64-pc-windows-msvc.tar.gz"", ""download_url"": ""https://github.com/shuttle-hq/shuttle/releases/download/v0.57.3/cargo-shuttle-v0.57.3-x86_64-pc-windows-msvc.tar.gz""}]",True,True,True,"Supported platforms: Linux, Windows, macOS"
yorukot/superfile,Pretty fancy and modern terminal file manager,,https://github.com/yorukot/superfile,16094,[],"[{""name"": ""superfile-windows-v1.4.0-amd64.zip"", ""download_url"": ""https://github.com/yorukot/superfile/releases/download/v1.4.0/superfile-windows-v1.4.0-amd64.zip""}]",True,True,True,"Supported platforms: Linux, Windows, macOS"
smallhadroncollider/taskell,Command-line Kanban board/task manager,,https://github.com/smallhadroncollider/taskell,1772,[],"[{""name"": ""taskell-1.11.4_x86-64-linux.deb"", ""download_url"": ""https://github.com/smallhadroncollider/taskell/releases/download/1.11.4/taskell-1.11.4_x86-64-linux.deb""}]",False,False,True,Supported platforms: Linux
o2sh/onefetch,Command-line Git information tool,,https://github.com/o2sh/onefetch,11392,[],"[{""name"": ""onefetch-setup.exe"", ""download_url"": ""https://github.com/o2sh/onefetch/releases/download/2.26.1/onefetch-setup.exe""}]",True,False,True,"Supported platforms: Linux, Windows"
wezterm/wezterm,A GPU-accelerated cross-platform terminal emulator,,https://github.com/wezterm/wezterm,22927,[],"[{""name"": ""WezTerm-macos-20240203-110809-5046fc22.zip"", ""download_url"": ""https://github.com/wezterm/wezterm/releases/download/20240203-110809-5046fc22/WezTerm-macos-20240203-110809-5046fc22.zip""}, {""name"": ""WezTerm-20240203-110809-5046fc22-setup.exe"", ""download_url"": ""https://github.com/wezterm/wezterm/releases/download/20240203-110809-5046fc22/WezTerm-20240203-110809-5046fc22-setup.exe""}]",True,True,True,"Supported platforms: Linux, Windows, macOS"
coronalabs/corona,Solar2D Game Engine,,https://github.com/coronalabs/corona,2757,[],"[{""name"": ""Solar2D-macOS-2025.3726.dmg"", ""download_url"": ""https://github.com/coronalabs/corona/releases/download/3726/Solar2D-macOS-2025.3726.dmg""}, {""name"": ""Solar2D-Windows-2025.3726.msi"", ""download_url"": ""https://github.com/coronalabs/corona/releases/download/3726/Solar2D-Windows-2025.3726.msi""}]",True,True,False,"Supported platforms: Windows, macOS"
AppFlowy-IO/AppFlowy,AI collaborative workspace,,https://github.com/AppFlowy-IO/AppFlowy,67073,[],"[{""name"": ""AppFlowy-0.10.7-macos-universal.dmg"", ""download_url"": ""https://github.com/AppFlowy-IO/AppFlowy/releases/download/0.10.7/AppFlowy-0.10.7-macos-universal.dmg""}, {""name"": ""AppFlowy-0.10.7-windows-x86_64.exe"", ""download_url"": ""https://github.com/AppFlowy-IO/AppFlowy/releases/download/0.10.7/AppFlowy-0.10.7-windows-x86_64.exe""}]",True,True,True,"Supported platforms: Linux, Windows, macOS"
MCJack123/craftos2,ComputerCraft emulator,,https://github.com/MCJack123/craftos2,283,[],"[{""name"": ""CraftOS-PC.dmg"", ""download_url"": ""https://github.com/MCJack123/craftos2/releases/download/v2.8.3/CraftOS-PC.dmg""}]",True,True,True,"Supported platforms: Linux, Windows, macOS"
zed-industries/zed,High-performance multiplayer code editor,,https://github.com/zed-industries/zed,71834,[],"[{""name"": ""Zed-x86_64.dmg"", ""download_url"": ""https://github.com/zed-industries/zed/releases/download/v0.217.3/Zed-x86_64.dmg""}]",True,True,True,"Supported platforms: Linux, Windows, macOS"
focus-editor/focus,A simple and fast text editor,,https://github.com/focus-editor/focus,2243,[],"[{""name"": ""focus-macOS.dmg"", ""download_url"": ""https://github.com/focus-editor/focus/releases/download/0.3.8/focus-macOS.dmg""}]",True,True,False,"Supported platforms: Windows, macOS"
slint-ui/slint,GUI toolkit,,https://github.com/slint-ui/slint,21274,[],"[{""name"": ""slint-viewer-macos.tar.gz"", ""download_url"": ""https://github.com/slint-ui/slint/releases/download/v1.14.1/slint-viewer-macos.tar.gz""}]",True,True,True,"Supported platforms: Linux, Windows, macOS"
nesbox/TIC-80,Fantasy computer,,https://github.com/nesbox/TIC-80,5717,[],"[{""name"": ""tic80-v1.1-mac.dmg"", ""download_url"": ""https://github.com/nesbox/TIC-80/releases/download/v1.1.2837/tic80-v1.1-mac.dmg""}]",True,True,True,"Supported platforms: Linux, Windows, macOS"
